Hashtag,Post Count
#dog,"290,738,719"
#dogsofinstagram,"222,793,083"
#dogs,"123,409,994"
#doglover,"59,559,830"
#doglovers,"35,111,003"
#doglife,"34,426,622"
#doglove,"15,516,623"
#dogphotography,"10,266,771"
#dogoftheday,"54,754,686"
#dogmom,"10,484,743"
#dogmodel,"6,331,240"
#dogsitting,"9,205,572"
#dogstagram,"99,375,813"
#dogslife,"14,496,617"
#doggy,"21,415,687"
#dogs_of_instagram,"20,232,426"
#dogsofinstaworld,"13,659,046"
#dogsofinsta,"26,153,331"
#dogofinstagram,"7,001,534"
#dogtraining,"4,833,619"
#dogsofig,"17,661,077"
#doggrooming,"3,342,043"
#doggo,"23,141,205"
#dogscorner,"6,615,557"
#dogfeatures,"882,316"
#dogmomlife,"1,261,617"
#doginstagram,"2,488,862"
#instadog,"90,655,140"
#dogwalking,"3,915,701"
#dogstyle,"2,741,195"
#dogwalker,"3,828,071"
#dogloversofinstagram,"1,707,845"
#dogsofinstgram,"6,956,183"
#dogoargentino,"1,284,548"
#dogdailyfeaturesss,"869,747"
#dogsdaily,"1,705,912"
#dogofthedayjp,"1,126,246"
#dogart,"1,028,707"
#dogclothes,"996,153"
#dogsmile,"1,270,399"
#dogsandpals,"3,448,298"
#cutedog,"13,939,933"
#dogtreats,"1,394,391"
#doggytheworld,"953,033"
#doggroomer,"1,693,831"
#dog_features,"6,551,352"
#dogworld,"1,170,596"
#dogslover,"2,580,597"
#dogsthathike,"2,030,669"
#dogportrait,"1,691,790"
#dogshow,"1,123,432"
#doÄŸa,"7,356,021"
#dogselfie,"1,573,716"
#dogumgunu,"3,531,810"
#dogphoto,"1,788,482"
